===== RECEIVED DATA FOR SYMBOL: EURUSD =====
         open      high       low     close    volume  day_of_week      hour    minute       day  timeframe
29   0.373797  0.393489  0.211847  0.178336  0.139982     0.166667  0.521739  0.000000  0.967742       0.75
30   0.337798  0.326256  0.332831  0.367792  0.096819     0.166667  0.347826  0.000000  0.967742       0.75
31   0.338217  0.284501  0.390562  0.332372  0.034666     0.166667  0.173913  0.000000  0.967742       0.75
32   0.300126  0.307502  0.367470  0.332784  0.043477     0.166667  0.000000  0.000000  0.967742       0.75
33   0.321892  0.294409  0.390562  0.322488  0.075674     0.833333  0.869565  0.000000  0.870968       0.75
34   0.393051  0.327672  0.358936  0.316722  0.149072     0.833333  0.695652  0.000000  0.870968       0.75
35   0.303056  0.342887  0.344378  0.386738  0.093321     0.833333  0.521739  0.000000  0.870968       0.75
36   0.270825  0.277778  0.311245  0.298188  0.082597     0.833333  0.347826  0.000000  0.870968       0.75
37   0.287149  0.237084  0.319779  0.266474  0.048198     0.833333  0.173913  0.000000  0.870968       0.75
38   0.286312  0.272824  0.330321  0.282537  0.058135     0.833333  0.000000  0.000000  0.870968       0.75
39   0.281289  0.292994  0.344880  0.322488  0.074524     0.666667  0.869565  0.000000  0.838710       0.75
40   0.243198  0.267516  0.260542  0.278418  0.114902     0.666667  0.695652  0.000000  0.838710       0.75
41   0.228548  0.207714  0.249498  0.239292  0.060834     0.666667  0.521739  0.000000  0.838710       0.75
42   0.223106  0.188606  0.237450  0.224876  0.055121     0.666667  0.347826  0.000000  0.838710       0.75
43   0.220594  0.202052  0.269076  0.219522  0.041177     0.666667  0.173913  0.000000  0.838710       0.75
44   0.223524  0.203822  0.250502  0.217051  0.053088     0.666667  0.000000  0.000000  0.838710       0.75
45   0.184177  0.201699  0.219880  0.197282  0.052458     0.333333  0.869565  0.000000  0.774194       0.75
46   0.242361  0.222930  0.203313  0.181219  0.106272     0.333333  0.695652  0.000000  0.774194       0.75
47   0.198409  0.199575  0.230924  0.238468  0.082319     0.333333  0.521739  0.000000  0.774194       0.75
48   0.219339  0.206653  0.236446  0.195222  0.067431     0.333333  0.347826  0.000000  0.774194       0.75
49   0.243617  0.217976  0.228916  0.215815  0.046685     0.333333  0.173913  0.000000  0.774194       0.75
50   0.252825  0.216914  0.276606  0.239703  0.038793     0.333333  0.000000  0.000000  0.774194       0.75
51   0.221432  0.236730  0.272590  0.253707  0.069029     0.166667  0.869565  0.000000  0.741935       0.75
52   0.230222  0.250177  0.206325  0.218287  0.152025     0.166667  0.695652  0.000000  0.741935       0.75
53   0.264546  0.221868  0.213855  0.225288  0.123484     0.166667  0.521739  0.000000  0.741935       0.75
54   0.400586  0.335810  0.322289  0.260297  0.100063     0.166667  0.347826  0.000000  0.741935       0.75
55   0.383005  0.347841  0.466365  0.394152  0.050534     0.166667  0.173913  0.000000  0.741935       0.75
56   0.360402  0.345718  0.414157  0.376853  0.065555     0.166667  0.000000  0.000000  0.741935       0.75
57   0.351193  0.354919  0.396586  0.338550  0.106938     0.833333  0.869565  0.000000  0.645161       0.75
58   0.263290  0.345718  0.215863  0.345552  0.256772     0.833333  0.695652  0.000000  0.645161       0.75
